run_id,family,instance,agent_count,topology,artefact_policy,success,completion_time_s,total_input_tokens,total_output_tokens,n_nodes,n_edges,n_agent_nodes,n_file_nodes,n_agent_to_agent,n_agent_to_file,n_file_to_agent
family-1-process_orders-clean-a4-peer-mandatory-r03,family-1,process_orders/clean,4,peer,mandatory,True,132.019,111,57531,10,38,4,6,0,15,23
family-1-process_orders-clean-a8-peer-allowed-r01,family-1,process_orders/clean,8,peer,allowed,True,475.618,881,316692,21,185,16,5,142,11,32
family-1-process_orders-clean-a8-peer-allowed-r02,family-1,process_orders/clean,8,peer,allowed,True,212.631,551,238754,28,132,18,10,92,12,28
family-1-process_orders-clean-a8-peer-allowed-r03,family-1,process_orders/clean,8,peer,allowed,True,320.046,775,273242,30,150,18,12,130,2,18
family-1-process_orders-conflicting-a4-orchestrator-allowed-r01,family-1,process_orders/conflicting,4,orchestrator,allowed,True,249.965,267,131228,11,57,10,1,50,3,4
family-1-process_orders-conflicting-a4-orchestrator-allowed-r02,family-1,process_orders/conflicting,4,orchestrator,allowed,True,767.88,275,119102,9,65,8,1,47,8,10
family-1-process_orders-conflicting-a4-orchestrator-allowed-r03,family-1,process_orders/conflicting,4,orchestrator,allowed,True,438.436,260,109879,8,55,7,1,43,7,5
family-1-process_orders-conflicting-a4-peer-allowed-r01,family-1,process_orders/conflicting,4,peer,allowed,True,328.722,436,107221,20,48,11,9,26,9,13
family-1-process_orders-conflicting-a4-peer-allowed-r02,family-1,process_orders/conflicting,4,peer,allowed,False,245.353,297,133430,9,73,8,1,44,14,15
family-1-process_orders-conflicting-a4-peer-allowed-r03,family-1,process_orders/conflicting,4,peer,allowed,False,232.309,190,79266,12,55,11,1,37,8,10
family-1-process_orders-overlapping-a4-orchestrator-allowed-r01,family-1,process_orders/overlapping,4,orchestrator,allowed,True,200.572,219,74839,9,43,8,1,29,6,8
family-1-process_orders-overlapping-a4-orchestrator-allowed-r02,family-1,process_orders/overlapping,4,orchestrator,allowed,False,237.311,267,87456,12,50,9,3,22,13,15
family-1-process_orders-overlapping-a4-orchestrator-allowed-r03,family-1,process_orders/overlapping,4,orchestrator,allowed,True,368.714,356,137917,19,67,12,7,41,10,16
family-1-process_orders-overlapping-a4-peer-allowed-r01,family-1,process_orders/overlapping,4,peer,allowed,True,152.951,201,89675,8,39,7,1,33,3,3
family-1-process_orders-overlapping-a4-peer-allowed-r02,family-1,process_orders/overlapping,4,peer,allowed,True,267.143,344,111561,13,52,11,2,44,2,6
family-1-process_orders-overlapping-a4-peer-allowed-r03,family-1,process_orders/overlapping,4,peer,allowed,True,357.971,295,105245,10,38,9,1,28,5,5
