family,draw,n,tau,cum_frac_dir,cum_frac_bc
summarise_transactions,solo,4,0.6,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.65,0.9875,0.9916666666666666
summarise_transactions,solo,4,0.7,1.0,1.0
summarise_transactions,solo,4,0.75,1.0,1.0
summarise_transactions,solo,4,0.8,1.0,1.0
summarise_transactions,solo,4,0.85,1.0,1.0
summarise_transactions,solo,4,0.9,1.0,1.0
summarise_transactions,solo,4,0.95,1.0,1.0
summarise_transactions,solo,4,1.0,1.0,1.0
summarise_transactions,solo,8,0.0,0.00965437788018433,0.08154648491605013
summarise_transactions,solo,8,0.05,0.12829777286117666,0.3168171804041369
summarise_transactions,solo,8,0.1,0.489545536962111,0.6777228761576588
summarise_transactions,solo,8,0.15,0.6906354027877943,0.873495538278147
summarise_transactions,solo,8,0.2,0.8410848948974644,0.9455446630664023
summarise_transactions,solo,8,0.25,0.9151228573058384,0.9760850671068063
summarise_transactions,solo,8,0.3,0.9352534256622131,0.9821820570733614
summarise_transactions,solo,8,0.35,0.94710324251203,0.9858908482821527
summarise_transactions,solo,8,0.4,0.9588889567977443,0.9915551839464882
summarise_transactions,solo,8,0.45,0.9682502943848883,0.9937290969899666
summarise_transactions,solo,8,0.5,0.9788414273898145,0.9937290969899666
summarise_transactions,solo,8,0.55,0.9788414273898145,0.9956521739130435
summarise_transactions,solo,8,0.6,0.9788414273898145,0.9956521739130435
summarise_transactions,solo,8,0.65,0.9788414273898145,0.9956521739130435
summarise_transactions,solo,8,0.7,0.9964285714285713,1.0
summarise_transactions,solo,8,0.75,1.0,1.0
summarise_transactions,solo,8,0.8,1.0,1.0
summarise_transactions,solo,8,0.85,1.0,1.0
summarise_transactions,solo,8,0.9,1.0,1.0
summarise_transactions,solo,8,0.95,1.0,1.0
summarise_transactions,solo,8,1.0,1.0,1.0
summarise_transactions,peer,2,0.0,0.2,0.2
summarise_transactions,peer,2,0.05,0.45,0.45
summarise_transactions,peer,2,0.1,0.7,0.7
summarise_transactions,peer,2,0.15,0.75,0.75
summarise_transactions,peer,2,0.2,0.75,0.75
summarise_transactions,peer,2,0.25,0.75,0.75
summarise_transactions,peer,2,0.3,0.8,0.8
summarise_transactions,peer,2,0.35,0.8,0.8
summarise_transactions,peer,2,0.4,0.85,0.85
summarise_transactions,peer,2,0.45,0.85,0.85
summarise_transactions,peer,2,0.5,0.85,0.85
summarise_transactions,peer,2,0.55,0.85,0.85
summarise_transactions,peer,2,0.6,0.85,0.85
summarise_transactions,peer,2,0.65,0.9,0.9
summarise_transactions,peer,2,0.7,0.95,0.95
summarise_transactions,peer,2,0.75,0.95,0.95
summarise_transactions,peer,2,0.8,0.95,0.95
summarise_transactions,peer,2,0.85,0.95,0.95
summarise_transactions,peer,2,0.9,0.95,0.95
summarise_transactions,peer,2,0.95,1.0,1.0
summarise_transactions,peer,2,1.0,1.0,1.0
summarise_transactions,peer,4,0.0,0.07707631874298541,0.18383838383838383
summarise_transactions,peer,4,0.05,0.3779180695847362,0.4532828282828283
summarise_transactions,peer,4,0.1,0.5489618406285073,0.6568181818181819
summarise_transactions,peer,4,0.15,0.6825196408529741,0.8212121212121213
summarise_transactions,peer,4,0.2,0.7072109988776655,0.8378787878787879
summarise_transactions,peer,4,0.25,0.7195566778900112,0.8712121212121213
summarise_transactions,peer,4,0.3,0.7643097643097643,0.8969696969696969
summarise_transactions,peer,4,0.35,0.8176206509539843,0.9219696969696969
summarise_transactions,peer,4,0.4,0.8740179573512906,0.9568181818181818
summarise_transactions,peer,4,0.45,0.8879068462401796,0.9659090909090908
summarise_transactions,peer,4,0.5,0.9081088664421997,0.9825757575757577
summarise_transactions,peer,4,0.55,0.9081088664421997,0.9825757575757577
summarise_transactions,peer,4,0.6,0.9266273849607182,0.9825757575757577
summarise_transactions,peer,4,0.65,0.938973063973064,0.9909090909090909
summarise_transactions,peer,4,0.7,0.938973063973064,0.9909090909090909
summarise_transactions,peer,4,0.75,0.9528619528619529,1.0
summarise_transactions,peer,4,0.8,0.9528619528619529,1.0
summarise_transactions,peer,4,0.85,0.9528619528619529,1.0
summarise_transactions,peer,4,0.9,0.9528619528619529,1.0
summarise_transactions,peer,4,0.95,0.9629629629629629,1.0
summarise_transactions,peer,4,1.0,1.0,1.0
summarise_transactions,peer,8,0.0,0.01582473105521278,0.0738277331134474
summarise_transactions,peer,8,0.05,0.27393705221345543,0.3831148216862502
summarise_transactions,peer,8,0.1,0.5688898753123268,0.6889467807324949
summarise_transactions,peer,8,0.15,0.7092754946200917,0.8252312238026522
summarise_transactions,peer,8,0.2,0.7989650899494404,0.8748373187658902
summarise_transactions,peer,8,0.25,0.8521779120907684,0.8947098536384251
summarise_transactions,peer,8,0.3,0.9092932039963427,0.9325706039991755
summarise_transactions,peer,8,0.35,0.9470403632937512,0.94701985844843
summarise_transactions,peer,8,0.4,0.9676634379396007,0.9691280148423006
summarise_transactions,peer,8,0.45,0.9831776959683938,0.9711688311688311
summarise_transactions,peer,8,0.5,0.9914002873305199,0.9729870129870128
summarise_transactions,peer,8,0.55,0.9976744186046511,0.9729870129870128
summarise_transactions,peer,8,0.6,0.9976744186046511,0.9729870129870128
summarise_transactions,peer,8,0.65,0.9976744186046511,0.9854870129870129
summarise_transactions,peer,8,0.7,0.9976744186046511,0.9854870129870129
summarise_transactions,peer,8,0.75,0.9976744186046511,0.9854870129870129
summarise_transactions,peer,8,0.8,0.9976744186046511,0.9854870129870129
summarise_transactions,peer,8,0.85,1.0,0.9872727272727273
summarise_transactions,peer,8,0.9,1.0,0.9872727272727273
summarise_transactions,peer,8,0.95,1.0,0.9872727272727273
